job_list_id,Company,Title,Link,Job,Location
38,모노얼라이언스주식회사,웹 개발자 (JAVA) 경력(정규직) /개발/운영/유지 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49434522,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, Ajax",서울 구로구
39,기적기획,[신입/경력] 웹퍼블리셔 및 프론트엔드 개발자 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49433348,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수",서울 강남구
40,주식회사식자재쿡,"프론트, 백엔드 앱 개발자 채용 [부산본사, 서울지사 근무] 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49352854,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터",부산 수영구
41,(주)세이브프롬,각 부문별 신입 및 경력 채용 / 프로그래머 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49359252,"기술지원, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",서울 성동구 외
42,람정제주개발(주),제주신화월드 IT 부문 정규직 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49314263,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발",제주 서귀포시
43,(주)클로잇,[클로잇] 엔터프라이즈산업 경력직 공개채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49331377,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발",서울 중구
44,(주)마더케이,[사업확장] 각 부문 신규 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=48917246&adsCategoryItem=effect_bold&,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 유지보수",경기 성남시 분당구 외
45,(주)에스티에이테스팅컨설팅,[ISTQB 교육/자격시험 지원]SW 테스트 엔지니어 모집(이커머스 부문) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49645961&adsCategoryItem=effect_bold&,"게임개발, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발",서울 중구 외
46,(주)에스티에이테스팅컨설팅,[ISTQB 교육/자격시험 지원]SW 테스트 엔지니어 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49645923&adsCategoryItem=effect_bold&,"게임개발, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발",서울 중구 외
47,(사)한국선급,2024년도 한국선급 직원(정규직) 채용 공고 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49482645,"데이터엔지니어, 백엔드/서버개발, 앱개발, 유지보수, 정보보안",부산 강서구 외
48,(주)대유넥스티어,Salesforce 개발자 경력 인재영입 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49668926,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수",서울 성동구
49,에이엠(주),에이엠㈜ 신입/경력 채용 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49598664,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",경기 과천시 외
50,성남그린컴퓨터아카데미,"IT 개발자 강사구인(국기, KDT, 풀스택, AI, 빅데이터등) 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49665130,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",경기 성남시 분당구
51,(주)누리어시스템,"[기술연구소] 솔루션(Java, jsp) 개발자 채용 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49664184,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드",경기 하남시 외
