course_id,auth,academy_name,region,course_name,start_date,end_date,tr_date,total_hour,employment_rate,price_total,self_payment
862,우수훈련기관 5년 인증,그린컴퓨터아트학원,대구 중구,정보처리기사 자격 취득과정(실기),20250310,20250411,13,39,해당없음,258180,90370
863,,(주)모두의연구소,서울 강남구,[스마트훈련]플러터 크로스플랫폼 모바일앱 개발자 실무과정 ,20250310,20250530,55,428,해당없음,7768200,0
864,우수훈련기관 5년 인증,중앙능력개발원,대전 서구,빅데이터 융합 스프링부트(자바&파이썬) 응용SW 개발자 양성과정,20250310,20250819,113,900,해당없음,6561000,0
865,우수훈련기관 5년 인증,더조은컴퓨터아카데미학원,서울 마포구,"(디지털컨버전스) 자바, 스프링 활용 데이터 융합 응용SW개발자 양성",20250310,20250818,112,896,61.5,6531840,0
866,우수훈련기관 5년 인증,그린컴퓨터아트학원,서울 구로구,"(스마트웹&콘텐츠개발) 자바(JAVA) 기반 풀스택 웹개발자(스프링,Vue)",20250310,20250827,119,950,해당없음,6925500,0
867,우수훈련기관 5년 인증,KH정보교육원 강남지원,서울 강남구,(디지털컨버전스) React & Spring 활용 자바(Java) 개발자 양성과정 30(6),20250310,20250819,111,888,62.3,6473520,0
868,우수훈련기관 5년 인증,연세IT미래교육원(구.연세직업전문학교),경기 수원시 장안구,[일반고] 스마트웹 콘텐츠개발과 유튜브 영상편집(웹디자인기능사&GTQ),20250310,20260102,188,1300,68.2,8670470,0
869,우수훈련기관 5년 인증,중앙능력개발원,대전 서구,클라우드기반 AWS 융합 스프링부트(자바) 풀스텍 웹 개발자 양성과정,20250310,20250819,113,900,해당없음,6561000,0
870,우수훈련기관 5년 인증,이젠컴퓨터아트학원,경기 의정부시,"[일반고]스마트 웹콘텐츠 UI/UX 디자인 & 유튜브영상편집(웹디자인기능사,GTQ)",20250310,20251224,176,1232,56.9,8349600,0
871,우수훈련기관 5년 인증,연세IT미래교육원(구.연세직업전문학교),경기 수원시 장안구,"[일반고] 정보보안 전문가 양성(화이트해커,정보처리기능사)_스마트혼합훈련",20250310,20260102,188,1300,68.2,8654330,0
872,훈련기관 3년 인증,솔데스크강남학원,서울 강남구,챗GPT를 활용한 자바(JAVA) 스프링 및 데이터 분석 시스템기반 웹 플랫폼 구축 과정,20250311,20250912,130,1040,41.2,9872720,0
873,우수훈련기관 5년 인증,이젠컴퓨터아트학원,경기 의정부시,인터렉티브 생성형 AI 챗봇 & 풀스택 개발자,20250311,20250829,120,960,56.9,9113280,0
874,훈련기관 3년 인증,세종직업능력개발원,서울 금천구,AWS기반 클라우드 활용 과정,20250311,20250321,9,72,해당없음,476640,166830
875,훈련기관 3년 인증,윤성컴퓨터디자인DX아카데미,대구 중구,차세대 광고 영상 콘텐츠 제작(디지털 사이니지 플랫폼 디자인),20250311,20250626,75,450,해당없음,3872700,0
876,우수훈련기관 5년 인증,이젠아카데미 DX교육센터,서울 종로구,AI 서비스 개발을 위한 클라우드 활용 실무 과정,20250311,20250915,131,1044,76,9910690,0
877,우수훈련기관 5년 인증,엠비씨(MBC)아카데미 컴퓨터국비지원교육센터,서울 관악구,심화_인공지능 YOLO기반 부트캠프,20250311,20250513,44,349,해당없음,5097490,0
878,훈련기관 3년 인증,세종직업능력개발원,서울 금천구,"Spring Boot [JPA, SECURITY기초, JWT, 프론트엔드와 연동(react, thymeleaf, jsp)방법)]",20250311,20250318,6,48,해당없음,317760,111220
879,훈련기관 3년 인증,대신IT평생교육원,서울 강동구,파이썬프로그래밍초급(코딩기초),20250311,20250422,13,39,해당없음,258180,90370
