Price,Close,High,Low,Open,Volume
Ticker,034730.KS,034730.KS,034730.KS,034730.KS,034730.KS
Date,,,,,
2024-11-15,135200.0,138700.0,135200.0,138400.0,115429
2024-11-18,138600.0,139300.0,133500.0,133500.0,136046
2024-11-19,139900.0,142000.0,137500.0,137500.0,142205
2024-11-20,139700.0,140900.0,138900.0,139300.0,63089
2024-11-21,140400.0,142300.0,138300.0,139500.0,85381
2024-11-22,140100.0,142000.0,140100.0,142000.0,63653
2024-11-25,144900.0,144900.0,140400.0,141500.0,160133
2024-11-26,142800.0,144700.0,141700.0,143300.0,72938
2024-11-27,140200.0,143400.0,139700.0,142200.0,67132
2024-11-28,141200.0,142300.0,139200.0,141400.0,56175
2024-11-29,136600.0,141900.0,136500.0,141900.0,124104
2024-12-02,136000.0,139200.0,135900.0,138600.0,75034
2024-12-03,139800.0,139800.0,136800.0,138000.0,103899
2024-12-04,136200.0,137700.0,135200.0,136400.0,143297
2024-12-05,133000.0,136700.0,132900.0,136200.0,122309
2024-12-06,132500.0,135300.0,130300.0,133700.0,138230
2024-12-09,127600.0,131300.0,127600.0,131300.0,151211
2024-12-10,132500.0,132900.0,128200.0,128800.0,99468
2024-12-11,134300.0,134300.0,130500.0,131900.0,132673
2024-12-12,136800.0,140800.0,134900.0,135600.0,277361
2024-12-13,140800.0,140900.0,136500.0,136500.0,131909
2024-12-16,142100.0,143200.0,139900.0,141100.0,120008
2024-12-17,140200.0,142500.0,139900.0,141200.0,106872
2024-12-18,140600.0,141600.0,139500.0,141600.0,74294
2024-12-19,136800.0,138300.0,136300.0,138200.0,101753
2024-12-20,133700.0,137500.0,133600.0,136900.0,99277
2024-12-23,139800.0,140200.0,134700.0,134900.0,98659
2024-12-24,137700.0,140100.0,137400.0,140000.0,59497
2024-12-26,136700.0,139400.0,136700.0,137700.0,66545
2024-12-27,135100.0,137600.0,134200.0,136400.0,74944
2024-12-30,131500.0,135900.0,131500.0,135000.0,106834
2025-01-02,132000.0,132500.0,130700.0,131600.0,59734
2025-01-03,135000.0,136400.0,131000.0,131000.0,75013
2025-01-06,140900.0,141300.0,135000.0,135000.0,148417
2025-01-07,140300.0,143300.0,140300.0,140900.0,70210
2025-01-08,140800.0,142900.0,139600.0,139600.0,116140
2025-01-09,141000.0,143300.0,140100.0,140600.0,114210
2025-01-10,146000.0,147000.0,141500.0,141500.0,175896
2025-01-13,143000.0,145400.0,142100.0,143900.0,90720
2025-01-14,143500.0,144300.0,141500.0,143800.0,65876
2025-01-15,142000.0,145800.0,141700.0,144000.0,69466
2025-01-16,146400.0,146400.0,142400.0,144000.0,95374
2025-01-17,146800.0,148100.0,144500.0,145000.0,86995
2025-01-20,147000.0,149500.0,146200.0,147100.0,69781
2025-01-21,144500.0,147500.0,143700.0,147200.0,68249
2025-01-22,145800.0,146800.0,143800.0,145900.0,63903
2025-01-23,147700.0,148400.0,144300.0,146400.0,121518
2025-01-24,148500.0,149400.0,146500.0,147800.0,73043
2025-01-31,148100.0,149000.0,143900.0,145900.0,139123
2025-02-03,138800.0,145200.0,137900.0,144400.0,158059
2025-02-04,139900.0,142000.0,138900.0,140500.0,94213
2025-02-05,140700.0,142400.0,140100.0,140500.0,74228
2025-02-06,144400.0,144400.0,140700.0,141800.0,82395
2025-02-07,144300.0,146400.0,143000.0,143000.0,65155
2025-02-10,141300.0,143600.0,140900.0,143600.0,76487
2025-02-11,143600.0,144100.0,141000.0,141300.0,82162
2025-02-12,142700.0,144300.0,141900.0,144300.0,64386
2025-02-13,145600.0,145900.0,141500.0,142400.0,132466
2025-02-14,147600.0,148700.0,145000.0,145600.0,88984
2025-02-17,149200.0,150000.0,146900.0,148600.0,56870
2025-02-18,149300.0,149500.0,147000.0,148100.0,69451
2025-02-19,149300.0,153500.0,148300.0,148400.0,152242
2025-02-20,148900.0,151200.0,147300.0,148300.0,62060
2025-02-21,148100.0,149400.0,147400.0,149300.0,53658
2025-02-24,148600.0,148700.0,145500.0,145500.0,60110
2025-02-25,150000.0,151500.0,147900.0,148800.0,99328
2025-02-26,149700.0,151800.0,148100.0,149600.0,72394
